moroni 0 -0,299007194162815 1 0
stars 6584 9,67591062741164 3 6
obnoxious 6585 -1,97609934698609 2 0
gateways 6586 -2,0025943377533 1 0
rollerbags 6587 -0,856183315327476 1 0
labeled 6588 -0,674283604684418 1 0
a355 6589 -1,4089238680475 1 0
a3602 6590 -1,36057860025232 1 0
carryons 6591 -3,29324879082537 4 0
ramp 6592 -1,13657556122009 2 0
countertop 6593 -1,48725803382101 1 0
2294 6594 -1,23365259251262 1 0
dhl 6595 -1,18997968905139 1 0
ups 6596 -1,10062519172236 3 2
couriered 6597 -0,768609034488261 1 0
fabric 6598 17,9972486342756 1 2
grey 6599 -0,645845063564296 1 0
label 6600 0,113806944160632 1 0
conjunction 6601 -0,255789035351849 1 0
exceptionally 6602 4,74344302646045 1 5
milano 6603 0,0787926195556263 2 2
chania 6604 -1,56465254657187 2 0
milano-athens 6605 -0,445186391680123 1 0
handbags 6606 -3,37887050326861 3 0
7.5 6607 -1,1234166701899 1 0
athens-chania 6608 -0,663214367191873 1 0
124 6609 -0,664694494877334 1 0
7.5kg 6610 -1,0414605117596 1 0
content 6611 -1,38226807512449 3 2
relations 6612 -1,48603150918429 6 1
1a 6613 0,505829160011294 1 1
1f 6614 0,367946301059772 1 1
folded 6615 -1,52125362563937 1 0
tables 6616 0,345503292067677 1 1
backwards 6617 1,32191993692979 1 2
pitch 6618 14,4674698575248 3 14
chocolate 6619 51,7540499485815 2 15
crisps 6620 -1,82383787027739 2 1
concerned 6621 -5,35236473127844 4 6
increasing 6622 -0,277105227754035 1 1
revenue 6623 -0,762075521220488 1 0
; 6624 26,3266703216949 4 7
user 6625 -0,387979491747906 1 1
interface 6626 -2,1687540408544 1 0
deceptive 6627 -1,81356069953812 1 0
airfares 6628 -1,25084119585848 1 0
comparable 6629 4,50309080318692 1 5
carte 6630 -1,93745591353507 1 0
thumb 6631 -2,60224352018081 1 0
70/person 6632 -2,05273807009344 1 0
comparison 6633 -12,1632608551827 3 4
determination 6634 1,39103095503106 1 1
extract 6635 -2,61402661991959 1 0
junk 6636 -4,22723235144617 2 0
subjective 6637 -1,16037524689938 1 0
certified 6638 -0,953450439522718 1 0
scale 6639 -1,87890314482101 1 1
montréal 6640 -2,79722889140119 4 0
1025 6641 -0,179177672033747 1 0
rupees 6642 -0,0929689615466487 1 0
definite 6643 0,790410887212684 1 1
breach 6644 -0,867463378639642 1 0
blind 6645 0,121689461461124 1 1
battery 6646 0,8927827436909 1 1
staring 6647 -0,242404715270924 1 0
headrest 6648 -4,0552043825645 4 1
chicken/rice 6649 -0,212398989224992 1 0
shrimp/noodles 6650 -1,73548296919814 1 0
rolls 6651 -2,62254514653354 3 0
thai 6652 20,3639216235671 1 4
4:10pm 6653 -1,45680081809722 2 0
uncertainty 6654 0,377992779891003 1 0
1:15am 6655 -2,53382842886906 2 0
genuinely 6656 8,72131633694345 1 6
unchanged 6657 -0,594481558117308 1 0
agitate 6658 0,452122680820582 1 0
4:30 6659 -1,37667307270536 2 0
bumping 6660 -1,87643238956874 2 0
edge 6661 -1,96530979478979 1 0
dashed 6662 -1,17257550860409 1 0
meat 6663 -0,766305089912519 3 3
vegatarian 6664 -2,02723861561494 1 0
dish 6665 10,6607831589229 2 9
coffee/tea 6666 2,47047003669221 1 2
witnessed 6667 -2,02277082834522 4 1
likewise 6668 -2,38520180247035 1 0
asian 6669 0,381972897137503 4 3
classic 6670 6,40597876603993 1 5
selecting 6671 7,70587861645309 1 3
70us 6672 -1,32462969209283 1 0
one-way 6673 0,146372775848197 1 1
online-checkin-process 6674 -1,54872198107127 1 0
customer-page 6675 -0,144660190793062 1 0
digital 6676 -2,65939571608761 2 0
ground-stuff-guy 6677 -0,767516125397531 1 0
discussing 6678 -1,89461215748201 2 0
overnight-connection 6679 -0,395019551038285 1 0
reserving 6680 -2,38076223692892 2 0
boarding-passes 6681 -0,926349325583479 1 0
premium-economy 6682 0,041643635342663 1 0
impudence 6683 -0,0384422066334831 1 0
yrs 6684 1,53857371725076 2 1
enclose 6685 -0,21491079531373 1 0
corresponding 6686 -0,966164830823506 1 0
detached 6687 -1,39593724901599 1 0
immigration/visitors 6688 -0,241253466690543 1 0
hi 6689 0,124859342176867 1 0
you'd 6690 0,164657199599155 1 0
offensive 6691 -3,53275077693758 3 0
realised 6692 1,08750209761202 1 1
bun 6693 -17,476777618647 3 2
reflection 6694 -15,0024709936709 1 0
thanksgiving 6695 2,6680809406415 1 1
gainesville 6696 -0,406602199192439 2 0
ga 6697 -1,82666389398587 3 0
outfits 6698 -0,582350532935164 1 0
host's 6699 -2,62824639004108 3 0
neighbors 6700 0,251219448610777 1 0
necessities 6701 -1,18444647415748 2 0
neighbor 6702 -0,657202939622664 2 0
wakes 6703 -1,13717721562701 1 0
obligated 6704 -1,41837766287773 1 0
prebooked 6705 0,558638548459224 1 0
avml 6706 -1,69791544550001 3 0
advantage 6707 14,9175487836439 2 9
inr 6708 -1,00807883851606 1 0
indians 6709 -1,27734704123686 1 0
observing 6710 -1,37443272023203 1 0
imagined 6711 0,0888323073689046 1 0
feelings 6712 1,30013061426586 1 1
ottawa 6713 15,7471424687873 2 13
tampa 6714 -9,29591097435724 10 0
arthritic 6715 -1,25008308335677 1 0
chest 6716 -5,70695350016791 2 0
claustrophobic 6717 -0,734133310911308 1 1
stationary 6718 -0,304878792262114 1 0
allergic 6719 -0,212327811360512 1 0
luxuries 6720 -1,17305218608726 1 0
hate 6721 0,566407251435522 2 2
west 6722 9,91848279778775 1 4
beach 6723 0,789938889625454 1 1
statistics 6724 -0,582684329283742 1 0
tremendous 6725 3,33872945953101 1 2
inefficiencies 6726 -0,981623609308909 1 0
languages 6727 0,252147704526851 3 4
aeroplan 6728 -0,351156476350108 1 0
stellar 6729 2,98319717067443 1 1
hydrated 6730 1,26194200839938 1 1
corporations 6731 -0,632731834022669 1 0
watchdogs 6732 -1,48516559693272 1 0
belize 6733 -2,66636580320372 1 0
5hour 6734 -1,1462390220008 1 0
overbooks 6735 -1,09631577618249 1 0
asks 6736 -0,369146402352092 1 1
tissue 6737 -15,4211793814884 1 0
reminding 6738 -15,2200647762139 1 0
restroom 6739 -19,9200651575439 4 0
host 6740 -15,2169955837619 1 1
inquiry 6741 -15,383713621918 1 0
shout 6742 2,31214161483205 1 9
mindfulness 6743 -15,6639066594019 1 0
merely 6744 -15,2007081715393 1 0
respected 6745 -16,624175341718 1 0
kindness 6746 16,1671189068198 1 13
who've 6747 -15,4596403681951 1 0
disregarded 6748 -1,08086655339266 2 0
slightest 6749 1,04761229532194 1 1
hi-end 6750 -0,32496567392953 1 0
leeds 6751 -2,07246890914276 5 0
itineraries 6752 -1,12178508086213 1 0
published 6753 -1,87002272902523 2 0
display 6754 -1,05519418309219 1 0
12:00 6755 -0,4151877894137 2 0
12:50 6756 -0,302929125913852 2 0
353 6757 -0,0471417934853313 1 0
761 6758 0,245507110676499 1 0
7844 6759 -0,557107074725026 1 0
inquiries 6760 1,94026217862976 1 1
carlton 6761 -0,650063115754194 1 0
wages 6762 0,56870502604577 1 0
three-segment 6763 0,208724038493225 1 0
slc 6764 -1,03928904218566 1 0
sea 6765 -0,441700896640169 3 1
alaskan 6766 -0,326002109109425 2 0
codeshare 6767 0,166496375746325 2 2
segments 6768 4,09338128515211 2 7
uncommon 6769 -0,599595099827086 2 0
codeshares 6770 -0,7809366646134 1 0
staffed 6771 1,61422574571996 1 2
kiosk 6772 9,08593136993513 7 7
oddly 6773 1,21518607619926 1 1
locator 6774 -0,895332449625867 2 0
reprint 6775 -0,689338801097748 1 0
greyed 6776 -0,545734360416296 1 0
unapologetically 6777 -1,31761092875042 1 0
apologetically 6778 -0,609353201095645 1 0
dial-in 6779 -0,658509221513993 1 0
runaround 6780 -1,22838928933646 2 0
tendency 6781 0,578016536858872 1 1
annoy 6782 0,0330142236468449 1 0
approach 6783 -0,298768770181932 3 3
printing 6784 0,908162793940009 2 1
fundamental 6785 1,23441090115086 1 1
paperless 6786 -0,810946757630886 1 0
toolkits 6787 0,584857120171588 1 0
kiosks 6788 0,288828393299518 1 0
authorize 6789 -1,63105123109699 2 0
re-fetching 6790 -1,39338664430817 1 0
well-deserved 6791 0,477995388153007 1 0
1.2 6792 0,333313731352479 1 0
seatac 6793 -1,06295748393189 2 0
distribute 6794 1,63967299910247 1 1
senseless 6795 0,0330677346480395 1 0
* 6796 8,34758169923331 2 4
corrected 6797 1,10341757633882 2 1
complex 6798 -0,624617393698831 1 0
failures 6799 -0,959007054361984 1 0
errors 6800 -6,09817309551787 5 0
determined 6801 1,6006223313979 1 1
indifference 6802 0,546978661067308 1 1
honolulu 6803 2,61872857772686 2 2
flawed 6804 -0,371451057946054 1 0
algorithm 6805 0,560808602702249 1 0
uses 6806 -7,65840024182498 2 2
potentially 6807 0,463028869760702 1 1
fraudulent 6808 -0,674690289830179 2 0
repurchase 6809 0,234144612045095 1 0
inclement 6810 -0,869453428997404 1 0
comments 6811 20,21468210384 2 8
mostly 6812 6,86221151638879 6 9
relate 6813 0,604016342621304 1 1
on-line 6814 3,37128223994341 1 2
records 6815 -1,03775437909074 1 0
acted 6816 0,516922663579193 2 1
overland 6817 -0,832526214203111 1 0
similarly 6818 0,600561249023565 1 0
non-arrival 6819 -0,0736999254551249 1 0
hosts 6820 0,269245874401762 1 1
fob 6821 0,189140772209103 1 0
regretted 6822 -0,622332039904935 1 0
doubt 6823 3,5244324983677 3 4
centres 6824 0,39379155342178 1 0
nil 6825 -1,85893207660826 1 0
greeting 6826 2,88091202330818 1 5
runway 6827 -1,35111130259517 3 0
descriptions 6828 -1,12448691843286 1 0
lacked 6829 1,27159983360749 1 2
golf 6830 5,26307969785439 1 3
hiking 6831 -1,04915191291326 2 0
repairs 6832 -0,0929935410120495 1 0
excursions 6833 -1,05034615269413 1 0
seasons 6834 -1,76033621838332 2 0
perishable 6835 -0,929011577520991 1 0
remedial 6836 -0,668962119738088 1 0
krk 6837 -1,98571433023816 1 0
berlin/txl 6838 -1,72731772415681 1 0
pleasantly 6839 37,5473547306598 1 18
voyage 6840 -1,90718900305554 1 0
waw 6841 -0,973975608020078 1 1
airside 6842 0,95954742043258 1 1
facilities 6843 6,75468389599336 3 9
restock 6844 -0,561597814020514 1 0
duty-free 6845 3,09193160500933 1 1
practically 6846 -0,284216022437539 4 2
fas 6847 5,82929749452942 1 7
whiskey 6848 -0,534239680661931 1 0
barked 6849 -0,822572659059694 1 0
fa 6850 8,51614522008046 1 8
bombay 6851 -1,71989223408508 5 1
halt 6852 -1,09714371142776 1 0
2-3 6853 -0,750917486125099 2 1
disposal 6854 -0,328252930253862 2 0
jakarta 6855 -0,78731380067175 2 0
1.5hrs 6856 -0,877045659989605 1 0
combination 6857 -2,87745385071144 2 0
signage 6858 -1,37506304424026 2 0
appearance 6859 2,48748104846453 1 2
suck 6860 -0,920103384843144 1 0
affiliates 6861 0,29271114421669 1 0
supported 6862 4,88751585226856 2 2
checkins 6863 0,153709892953611 1 0
terminals 6864 5,37106508406394 1 5
tor-victoria 6865 0,279698470504814 1 0
typically 6866 5,00767543176547 1 5
week’s 6867 -1,28744245310661 1 0
ac’s 6868 1,46435256249474 1 1
acs 6869 -0,899706245120478 1 0
saddle 6870 0,0312077317066526 1 0
plane/gate 6871 -0,397363034494856 1 0
mishap 6872 -0,205208521338742 1 0
guessing 6873 -1,1467929332735 1 1
fast 6874 55,4334898912038 4 42
gift 6875 2,24322151222416 5 2
press 6876 -0,270406625871736 2 2
roughly 6877 -0,877015824139591 1 1
combos 6878 -1,11396977999898 1 0
chips 6879 -3,3981400471172 4 4
9.5 6880 0,425283960730435 1 1
777's 6881 -0,0483854131067104 1 1
medium 6882 0,68312838551734 2 4
crammed 6883 -1,10191428619526 1 0
aisles 6884 4,35545480128166 1 2
7.40 6885 -1,71702818279948 1 0
stories 6886 -1,45200820893608 1 0
drank 6887 -0,242076083199156 1 0
1.15 6888 -1,52209324926235 1 0
de-iced 6889 -1,17302243559296 1 0
wings 6890 -0,151965933922662 1 0
curt 6891 -0,991508331611524 1 0
religious 6892 -1,31065131132987 1 0
coleslaw 6893 -1,81479872195739 1 0
sweet 6894 10,5674577146617 1 8
chilean 6895 -1,49990015174258 1 0
eaten 6896 -1,86149138578283 1 0
communal 6897 -0,79416251126405 1 0
breaking 6898 -1,91638125214557 2 0
noodles 6899 3,4587037646485 2 3
wooed 6900 -3,01574382824625 1 0
promise 6901 -2,69677360956407 2 0
exclusive 6902 -1,3350551678031 1 0
preferential 6903 -2,23453345938331 1 0
cancun-mexico 6904 -1,4537804146082 1 0
commissioned 6905 -2,28649192721885 1 0
hors 6906 -2,31468373956843 1 0
d'oeuvres 6907 -3,25035081242693 1 0
consist 6908 -2,68440656521563 1 0
nuts 6909 0,728525621596969 1 3
bars 6910 -2,71690719268141 1 0
potato 6911 -4,60002991929652 4 1
fool 6912 -2,66348406922234 1 0
vacations 6913 -1,87692304033643 2 0
perspective 6914 -0,737802968890314 1 0
adventure 6915 -0,471717950874808 1 1
mid-june 6916 -1,19041723832042 1 0
interesting 6917 15,1894302606533 1 7
eternal 6918 -1,30174485021352 1 0
upcharge 6919 -1,51190684638541 1 0
headquarters 6920 -0,368293336950379 1 0
teaching 6921 -1,15024859530397 1 0
tool 6922 0,134650779764471 1 0
types 6923 2,43737501000863 1 2
behaviors 6924 -0,847740327589093 1 0
exempt 6925 -0,777283948602753 1 0
¨ 6926 -1,78671174849696 4 0
clarifying 6927 0,509590199128534 1 0
referring 6928 -0,614250497433474 2 0
receipt 6929 -1,96661081983084 7 1
injured 6930 2,10471288310583 1 2
injuries 6931 0,123755864530688 1 0
revision 6932 -0,360634607756806 1 0
fines 6933 -0,0726734924934216 1 0
storm 6934 22,1176041313063 6 4
lorenzo 6935 -0,977942475899096 1 0
cow 6936 -0,713330290007093 1 0
12.55 6937 -0,982338198312716 1 0
07.30 6938 -0,248133895428914 1 0
organised 6939 11,1419468104569 1 9
11.00 6940 -0,00234446707290803 1 0
17.5 6941 -0,801657420351011 1 0
bevause 6942 -0,157669541825386 1 0
encourage 6943 -0,650618861918626 2 0
wolves 6944 -1,05611526675341 1 0
nashville 6945 0,548063912358165 1 0
tn 6946 -0,928024286231037 1 0
ir 6947 -0,933728278444022 1 0
jetblue 6948 -7,37699586184555 13 3
lingus's 6949 -0,160824486455333 1 0
loose 6950 -1,70948291938262 2 0
mass 6951 -2,25092144080015 2 0
chengdu 6952 0,907582359811097 2 2
wad 6953 -0,404474390859005 1 0
entirely 6954 -3,77300299674878 3 0
call-imagine 6955 -0,165495222511466 1 0
repurchased 6956 -0,231424365486682 1 0
former 6957 6,02756998312081 1 2
stored 6958 -4,48679316308666 2 0
backup 6959 -1,57649646451534 1 0
quizzed 6960 -2,29978019064282 1 0
brutal 6961 -1,72427393720684 1 0
pack 6962 4,26389977292339 4 7
lightly 6963 -2,71779576028595 1 0
backups 6964 -1,57618724958794 1 0
svo-lax 6965 -1,2406630482714 2 0
dysfunction 6966 -0,63939524299437 1 0
rouble 6967 -0,290810557357413 1 0
stony 6968 -0,294526833386406 1 0
unsmiling 6969 -1,15986049895168 1 0
demeanor 6970 -0,258387683219457 1 0
dealbreaker 6971 -1,60807904596817 1 0
gallbladder 6972 -1,16243607637586 1 0
surgery 6973 2,75630855092607 1 1
u$200 6974 -0,509562379312498 1 0
u$150 6975 -0,566635916599369 1 0
surgeries 6976 2,30742098079409 1 1
emergencies 6977 0,98526965956449 2 1
applicable 6978 0,493490217157402 1 0
u$350 6979 -0,695804244417606 2 0
u$771.48 6980 -1,14925966684206 1 0
u$879 6981 -1,25298346111224 1 0
u$529 6982 -0,813414053764853 1 0
u$720 6983 0,546573989021859 1 0
u$1024 6984 -0,957127895977873 1 0
finds 6985 -0,0443657565602873 1 0
re-scheduling 6986 -0,783826480379247 1 0
reversed 6987 0,0438397682010381 1 0
20.3 6988 -0,999670550878938 2 0
worldtracer 6989 -0,216900996359485 1 0
tracing 6990 -0,346518119353111 1 0
rides 6991 -0,640900197131978 1 0
regrettably 6992 -1,29554509185047 1 0
dread 6993 2,22836256759631 2 2
turning 6994 3,7417268416573 1 2
taxis 6995 -1,3780705611585 1 0
perform 6996 0,834442879741286 1 1
tourist 6997 -3,03987385008478 3 1
65usd 6998 -2,17443167342545 1 0
outdated 6999 -6,61545233471107 6 3
non-functional 7000 -20,4125411516114 2 0
non-tasty 7001 -2,83721377655734 1 0
uncomfortably 7002 -2,83920149274133 1 0
temperature 7003 -2,4171352913683 2 4
jackets 7004 -2,10243685091959 1 0
hoods 7005 -1,80140391364759 1 0
143 7006 -0,688485343562665 1 0
9/26/19 7007 -0,548726186644624 1 0
faint 7008 -0,694912008566275 1 0
unreadable 7009 0,393632958593607 1 0
off-shore 7010 -0,972916166052649 1 0
waas 7011 -0,916694005679662 1 0
sunday's 7012 -1,36592032195345 1 0
9/29 7013 -0,0909888784359156 1 0
expedited 7014 2,17276325597091 1 1
9/27 7015 -0,946796713139301 1 0
9/28 7016 -0,810859867050713 1 0
disussing 7017 -1,6826743114659 1 0
anwer 7018 -1,06066786877842 1 0
hangzhou 7019 -3,23182150345846 5 0
plain 7020 -2,65683658577354 2 0
hanghzou 7021 0,216764987314476 1 0
c10 7022 -0,69114001243894 1 0
c4 7023 -1,17762583851704 1 0
dingy 7024 0,0866576189113117 1 0
yuan 7025 -1,11748749353806 2 0
2:10 7026 -1,41253395560781 1 0
erased 7027 0,409201397751086 1 1
21.00 7028 -1,1854182788103 1 0
ultra 7029 -1,73149184199585 1 0
negligence 7030 -3,20107883806391 4 0
elaborate 7031 -2,05270526448856 1 0
calgary 7032 17,7597015356457 12 22
12.30pm 7033 -0,891057552439653 1 1
et 7034 -0,183263374438166 1 3
scrambling 7035 0,387954075442606 1 1
settled 7036 1,3862180137477 1 2
intercom 7037 4,00372125846507 3 2
stocked 7038 2,14901084739203 1 5
asinine 7039 -2,05572404044481 1 0
pete's 7040 -1,95588043683948 1 0
subsidiary 7041 1,06489971073573 1 1
plague 7042 -2,56124825750536 2 0
medications 7043 -1,89330353182429 1 0
accepts 7044 0,0560151741635125 1 1
maple 7045 -8,62982423586297 2 8
leaf 7046 -6,8749799735262 1 8
revamp 7047 -17,804556475675 1 0
experience/service 7048 -17,8444009402042 1 0
sometime 7049 -18,1114767700487 3 1
90's 7050 -16,967210953388 1 0
squeaky 7051 -21,2828831485393 2 0
fraying 7052 -17,2792062241953 1 0
seatbelts 7053 -26,0426105588873 3 0
vents 7054 -20,1586159754352 2 0
examples 7055 -19,0293061299852 2 0
disconcerting 7056 -18,2460739891259 1 0
represent 7057 -17,7615758792318 1 0
deserves 7058 12,9962073057872 1 9
winter 7059 -8,5849494557292 3 1
pasengers 7060 0,0111300628218474 1 0
7eur 7061 -1,49768673237305 1 0
correspondance 7062 -1,16330791975526 1 0
sockets 7063 -5,36342024703669 2 1
9yr 7064 -3,80528829870992 1 0
largely 7065 -4,22021096563908 1 0
undedible 7066 -2,97639532227833 1 0
sons 7067 0,525137230486207 3 2
headphone 7068 -9,9077256381082 3 0
socket 7069 -4,61519092974029 2 1
ear 7070 15,866985529413 4 5
produced 7071 -6,81458117021927 2 0
unbeliably 7072 -3,33168513650619 1 0
improved 7073 46,7950568690407 3 16
stow 7074 -0,57594107108933 1 0
trustworthiness 7075 -1,12173627266741 1 0
repair 7076 1,47801324034949 1 2
panama 7077 -8,59783661174487 5 0
envelope 7078 0,466358997750263 1 0
noticing 7079 -1,18351827784605 2 0
antwerp 7080 -1,54250761388918 2 0
assurances 7081 0,0920222622770919 1 0
silent 7082 0,0536020518530169 2 0
portal 7083 -0,37394178145283 1 0
assure 7084 1,93571889830554 1 1
wishing 7085 2,38180409142832 1 2
victimized 7086 -0,173499284672318 1 0
china.i 7087 0,202311429941241 1 0
japan 7088 -5,33244192867188 8 1
remembered 7089 -0,153957542476225 1 1
veggie 7090 -1,76597222451399 1 0
nut 7091 -2,35220641249428 1 0
allergies 7092 -2,7924859400338 2 0
aircraft's 7093 8,4339602539474 1 9
airfield 7094 -2,36685412263817 1 0
lone 7095 -2,75819372383794 1 0
aeroplane 7096 3,92820767072412 1 2
stood 7097 -3,59782809093493 7 1
1999 7098 -2,68801528675855 1 0
hardest 7099 -2,42377394513403 1 0
designed 7100 5,14657123244674 4 6
cracker 7101 -1,20011712652637 1 0
tap 7102 -0,296830739219129 1 1
realise 7103 -13,7292100328157 2 2
quarter 7104 -7,87846192544255 2 0
preventable 7105 -14,7526298368129 2 0
owing 7106 -6,95119786302149 1 0
rouges 7107 -6,4742622498303 1 0
undoubtedly 7108 -6,16666921510672 1 0
dithering 7109 -6,73687953438465 1 0
assign 7110 -6,30731917363932 3 1
slacken 7111 -8,04823733863804 1 0
stretch 7112 -8,02793473989141 4 4
mounting 7113 -6,12027473376145 1 0
bracket 7114 -7,44244183289932 1 0
beneath 7115 -7,68089229780291 1 0
minuscule 7116 -7,5512888885342 1 0
ipads 7117 -1,08936615767394 3 5
entertain 7118 -6,29913914534223 1 1
else’s 7119 -6,58709241099986 1 0
in-laws 7120 -7,14671174206152 1 0
gap 7121 -6,27870681331433 1 0
mother-in-laws 7122 -6,94242101667562 1 0
footwell 7123 -7,85376805241861 1 0
litter 7124 -7,14921875440014 1 0
debris 7125 -7,08080842019096 1 0
unlikely 7126 -7,62209526892849 1 0
edmonton 7127 50,6343555244777 4 11
squashed 7128 -0,238089729537298 1 0
sardines 7129 0,28225263933756 1 0
concrete 7130 -1,04994386888572 1 0
crawl 7131 -0,524158737260922 1 0
skipping 7132 -1,50982127432237 2 0
opt-out 7133 0,0901329160622009 1 0
ratings 7134 -1,03008941641547 1 0
o-hare 7135 -0,542390505244206 1 0
faro 7136 0,68885302086773 3 5
tldr 7137 -0,917188119477214 1 0
reroute 7138 -2,09548001396259 2 0
transparent 7139 -1,41165151969141 1 0
misguiding 7140 -0,266998203502501 1 0
justice 7141 -0,59923715256119 1 0
0400 7142 -0,531019472671216 1 0
landside 7143 -1,29556244942153 1 0
accidentally 7144 -2,1466385074177 2 0
routed 7145 -1,21773498273349 1 0
explicitly 7146 -1,82427179926274 2 0
humiliating 7147 -2,97221131505082 2 0
1360 7148 -2,82359817690384 2 0
friend's 7149 -2,48596192616316 2 0
rentals 7150 -0,706904932161283 1 0
cork 7151 17,6175740012515 2 4
weekends 7152 0,101311000763118 1 0
weekdays 7153 -0,800922960695309 1 0
16/8/19 7154 -0,977062302910286 1 0
chasing 7155 -1,27472215838485 1 0
emerald 7156 1,84230381713356 1 2
auh 7157 -5,84306287157492 5 2
involved 7158 33,62000930571 1 3
muc 7159 5,00234659607631 3 6
dus 7160 13,8694657301388 1 2
eco 7161 3,11444750210012 1 5
minds 7162 -1,83617243982673 1 0
theory 7163 -2,04892177397801 1 0
narrow 7164 -11,4869357370245 6 4
strickly 7165 -1,28316035442201 1 0
54j 7166 -1,53841600471102 1 0
reset 7167 -1,91806757846757 3 0
fold 7168 0,109814775041218 1 0
51e 7169 -1,30005125910977 3 0
scream 7170 -1,36974519946135 1 0
yell 7171 -0,934100699021528 2 0
booklets 7172 -1,19388616159274 1 0
34k 7173 -1,48748756008571 1 0
detroit 7174 1,57990589532065 1 1
pre-security 7175 -0,147474509034061 1 0
obtained 7176 -1,34768726017684 1 0
raining 7177 -0,146858470396539 1 1
soaked 7178 -0,407129480925915 1 0
newer 7179 5,76851638777578 1 4
plugs 7180 6,04346353255374 1 3
impressed 7181 113,250117788068 1 55
overfilled 7182 -1,24204709881081 1 0
smelled 7183 -17,552128083516 3 0
daycare 7184 -16,1108426684099 1 0
uninterested 7185 -17,5675178686471 3 0
mark 7186 -1,02546975888567 2 0
understatement 7187 -0,408898294255556 1 0
salvador 7188 -0,732804822750764 3 0
caring 7189 17,1446329788978 3 17
defunct 7190 -0,684694311946954 1 0
jetway 7191 -2,56808425805908 3 0
taxiing 7192 0,362803079962173 1 1
flyed 7193 -18,1978267605406 1 0
tenerife 7194 -53,5811178354459 3 0
06/08/2019 7195 -18,1814459112386 1 0
07/08 7196 -17,7630649809554 1 0
since,but 7197 -17,4820979669141 1 0
mailed 7198 0,391373126670426 1 0
leisure 7199 -1,16347814256487 1 1
window/aisle 7200 -1,67931899292363 1 0
window/middle 7201 -2,50620424463703 1 0
middle/aisle 7202 -1,78202608562169 1 0
marginal 7203 -1,42354693120511 1 0
hannover 7204 -2,21621675799425 2 0
subsequent 7205 -2,2728042554915 1 0
10.40 7206 -1,7885401292185 1 0
dipped 7207 -1,01120146299303 1 0
syrup 7208 -1,38082885601596 1 0
rouge's 7209 -6,12958785795122 1 0
configured 7210 -3,82703494142137 1 1
match 7211 -4,51083779442629 1 0
today's 7212 -4,23593338766877 1 0
bin 7213 -10,2485076647012 2 2
rattled 7214 -4,94111700949311 1 0
shook 7215 -6,18065065423988 1 0
pre-flight 7216 -5,54350553170941 1 1
drinkable 7217 -4,68404467519561 1 0
nauseous 7218 -5,93807938869022 1 0
ensuring 7219 3,88058208393891 2 7
curtain 7220 -4,65769067600262 2 0
velcro 7221 -5,52951779092174 1 0
kicker 7222 13,7147374514093 1 1
cares 7223 2,66518210459742 1 3
scammed 7224 -2,01535695312328 1 0
sees 7225 -1,20166099206622 1 0
forgetting 7226 -0,696903784944165 1 0
shudder 7227 -0,29605967374335 1 0
luxor 7228 -4,2063705784764 5 0
reclaim 7229 -0,938648486993578 1 0
33kg 7230 -1,58440979927984 1 0
7/12 7231 -0,865589561483632 1 0
connector 7232 -1,23823162239894 1 0
pound 7233 -1,64365135922267 3 0
9:30p.m 7234 -0,652164725098836 1 0
brake 7235 -0,250332339038296 1 0
supermarket 7236 -0,467857832493194 1 0
drag 7237 -1,4185001765464 1 0
clearing 7238 5,76408897399161 1 6
latte 7239 0,261961782286857 1 0
hallway 7240 -1,77897751591121 2 0
lbs 7241 1,98573171900852 2 1
cutting 7242 -4,12806949933435 2 0
metal 7243 1,79678299645743 3 3
structure 7244 -1,22833239558541 1 0
movies/tv 7245 0,126143412443876 1 0
discomfort 7246 -1,13215092701472 2 1
chiang 7247 -1,98868942819009 2 0
mai 7248 1,84329045905885 2 1
bounce 7249 -0,700466470420578 1 0
login 7250 -0,937940190284485 1 0
2meals 7251 0,0209798745443019 1 0
yul 7252 2,65598164827376 2 2
dis-functional 7253 0,310791084454763 1 0
whelming 7254 -1,30578755298899 1 0
village 7255 -1,24980126309665 1 0
focus 7256 -0,920941482959754 1 0
attentive 7257 125,152793755873 1 114
occasion 7258 1,49181005023038 2 3
relocated 7259 -1,8145557629478 1 0
unoccupied 7260 -1,87590048991884 1 0
190cm 7261 -1,59248047186643 1 0
deer 7262 -2,10483094859162 2 1
newfoundland 7263 -2,1421803794532 2 0
born 7264 0,154821996462914 1 0
ontario 7265 -1,46144534268484 1 0
pedro 7266 -0,0726061094424715 1 0
migration 7267 -2,39228201056471 3 0
inconsistent 7268 -0,696342792080875 1 0
accommodative 7269 0,609215393620178 1 0
factor 7270 2,38720728405156 1 2
inhuman 7271 0,574994699971282 1 0
3-day 7272 -1,04813349421515 1 0
residency 7273 -0,900041106902082 1 0
​ 7274 0,259559534285012 1 0
​which 7275 0,656577698866174 1 0
726 7276 -1,00144827072576 1 0
abrupt 7277 -13,5820459399289 2 0
fifteen 7278 -0,306485547500889 1 1
gender 7279 -1,04150036407704 2 0
role 7280 0,530489928988037 1 0
presumption 7281 0,191785641755809 1 0
filing 7282 -0,239350089588831 2 1
13.06.2019 7283 -1,00590405590176 1 0
30.00 7284 -1,10070829819921 1 0
16.06.2019 7285 -0,705389675314254 1 0
20.06 7286 0,278428831965862 1 0
survey 7287 -0,84902271132405 1 0
won´t 7288 -0,637863795802865 1 0
21.06 7289 -0,702363466472534 1 0
22.06 7290 -0,729390862039007 1 0
